receta_uuid,receta_titulo,ingrediente_id,ingrediente_linea,cantidad_original,cantidad_conv,unidad,ingrediente_nombre,ingrediente_linea_limpia,ingrediente_nombre_limpio,unidad_limpia,tokens_linea,lemas_linea,tokens_ingrediente,lemas_ingrediente,ingrediente_linea_lematizada,ingrediente_nombre_lematizado
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,1,1 ½ - 2 libra de rabo o cola de res,1 ½,1.5,,- 2 libra de rabo o cola de res,1 1/2 2 libra de rabo o cola de res,2 libra de rabo o cola de res,,"['1', '1/2', '2', 'libra', 'de', 'rabo', 'o', 'cola', 'de', 'res']","['1', '1/2', '2', 'libra', 'de', 'rabo', 'o', 'cola', 'de', 'r']","['2', 'libra', 'de', 'rabo', 'o', 'cola', 'de', 'res']","['2', 'libra', 'de', 'rabo', 'o', 'cola', 'de', 'r']",1 1/2 2 libra de rabo o cola de r,2 libra de rabo o cola de r
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,2,2 tazas de caldo de res,2,2.0,tazas,caldo de res,2 tazas de caldo de res,caldo de res,taza,"['2', 'tazas', 'de', 'caldo', 'de', 'res']","['2', 'taza', 'de', 'caldo', 'de', 'r']","['caldo', 'de', 'res']","['caldo', 'de', 'r']",2 taza de caldo de r,caldo de r
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,3,1 taza de agua,1,1.0,taza,agua,1 taza de agua,agua,taza,"['1', 'taza', 'de', 'agua']","['1', 'taza', 'de', 'agua']",['agua'],['agua'],1 taza de agua,agua
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,4,4 cebolletas finamente picadas,4,4.0,,cebolletas finamente picadas,4 cebolletas finamente picadas,cebolletas finamente picadas,,"['4', 'cebolletas', 'finamente', 'picadas']","['4', 'cebolleta', 'finamente', 'picada']","['cebolletas', 'finamente', 'picadas']","['cebolleta', 'finamente', 'picada']",4 cebolleta finamente picada,cebolleta finamente picada
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,5,"3 dientes de ajo, finamente picados",3,3.0,dientes,"ajo, finamente picados","3 dientes de ajo, finamente picados","ajo, finamente picados",diente,"['3', 'dientes', 'de', 'ajo', 'finamente', 'picados']","['3', 'diente', 'de', 'ajo', 'finamente', 'picado']","['ajo', 'finamente', 'picados']","['ajo', 'finamente', 'picado']",3 diente de ajo finamente picado,ajo finamente picado
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,6,"1 cebolla blanca, finamente picada",1,1.0,,"cebolla blanca, finamente picada","1 cebolla blanca, finamente picada","cebolla blanca, finamente picada",,"['1', 'cebolla', 'blanca', 'finamente', 'picada']","['1', 'cebollo', 'blanco', 'finamente', 'picado']","['cebolla', 'blanca', 'finamente', 'picada']","['cebollo', 'blanco', 'finamente', 'picado']",1 cebollo blanco finamente picado,cebollo blanco finamente picado
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,7,2 tazas tazas de tomate finamente picado,2,2.0,tazas,tazas de tomate finamente picado,2 tazas tazas de tomate finamente picado,tazas de tomate finamente picado,taza,"['2', 'tazas', 'tazas', 'de', 'tomate', 'finamente', 'picado']","['2', 'taza', 'taza', 'de', 'tomate', 'finamente', 'picado']","['tazas', 'de', 'tomate', 'finamente', 'picado']","['taza', 'de', 'tomate', 'finamente', 'picado']",2 taza taza de tomate finamente picado,taza de tomate finamente picado
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,8,1 cucharadita de comino en polvo,1,1.0,cucharadita,comino en polvo,1 cucharadita de comino en polvo,comino en polvo,cucharadita,"['1', 'cucharadita', 'de', 'comino', 'en', 'polvo']","['1', 'cucharadita', 'de', 'comino', 'en', 'polvo']","['comino', 'en', 'polvo']","['comino', 'en', 'polvo']",1 cucharadita de comino en polvo,comino en polvo
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,9,½ cucharadita de sazón con color,½,0.5,cucharadita,sazón con color,1/2 cucharadita de sazon con color,sazon con color,cucharadita,"['1/2', 'cucharadita', 'de', 'sazon', 'con', 'color']","['1/2', 'cucharaditar', 'de', 'sazon', 'con', 'color']","['sazon', 'con', 'color']","['sazon', 'con', 'color']",1/2 cucharaditar de sazon con color,sazon con color
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,10,Sal y pimienta al gusto,,,,Sal y pimienta al gusto,sal y pimienta al gusto,sal y pimienta al gusto,,"['sal', 'y', 'pimienta', 'al', 'gusto']","['sal', 'y', 'pimiento', 'al', 'gusto']","['sal', 'y', 'pimienta', 'al', 'gusto']","['sal', 'y', 'pimiento', 'al', 'gusto']",sal y pimiento al gusto,sal y pimiento al gusto
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,11,"8 papas pequeñas enteras, peladas",8,8.0,,"papas pequeñas enteras, peladas","8 papas pequenas enteras, peladas","papas pequenas enteras, peladas",,"['8', 'papas', 'pequenas', 'enteras', 'peladas']","['8', 'papas', 'pequena', 'entero', 'pelada']","['papas', 'pequenas', 'enteras', 'peladas']","['papa', 'pequena', 'entero', 'pelada']",8 papas pequena entero pelada,papa pequena entero pelada
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,12,½ libra ½ libra de yuca congelada o fresca (yuca),½,0.5,libra,½ libra de yuca congelada o fresca (yuca),1/2 libra 1/2 libra de yuca congelada o fresca yuca,1/2 libra de yuca congelada o fresca yuca,libra,"['1/2', 'libra', '1/2', 'libra', 'de', 'yuca', 'congelada', 'o', 'fresca', 'yuca']","['1/2', 'libra', '1/2', 'libra', 'de', 'yuca', 'congelado', 'o', 'fresca', 'yuca']","['1/2', 'libra', 'de', 'yuca', 'congelada', 'o', 'fresca', 'yuca']","['1/2', 'libra', 'de', 'yuca', 'congelado', 'o', 'fresca', 'yuca']",1/2 libra 1/2 libra de yuca congelado o fresca yuca,1/2 libra de yuca congelado o fresca yuca
86af71fb-e16a-11ed-8027-a96d6180cd25,Sudado de Cola o Rabo de Res,13,Cilantro fresco,,,,Cilantro fresco,cilantro fresco,cilantro fresco,,"['cilantro', 'fresco']","['cilantro', 'fresco']","['cilantro', 'fresco']","['cilantro', 'fresco']",cilantro fresco,cilantro fresco
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,1,4 chuletas de cerdo con hueso,4,4.0,,chuletas de cerdo con hueso,4 chuletas de cerdo con hueso,chuletas de cerdo con hueso,,"['4', 'chuletas', 'de', 'cerdo', 'con', 'hueso']","['4', 'chuleta', 'de', 'cerdo', 'con', 'hueso']","['chuletas', 'de', 'cerdo', 'con', 'hueso']","['chuleta', 'de', 'cerdo', 'con', 'hueso']",4 chuleta de cerdo con hueso,chuleta de cerdo con hueso
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,2,2 cucharadas de aceite vegetal,2,2.0,cucharadas,aceite vegetal,2 cucharadas de aceite vegetal,aceite vegetal,cucharada,"['2', 'cucharadas', 'de', 'aceite', 'vegetal']","['2', 'cucharada', 'de', 'aceite', 'vegetal']","['aceite', 'vegetal']","['aceite', 'vegetal']",2 cucharada de aceite vegetal,aceite vegetal
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,3,3 dientes de ajo picados,3,3.0,dientes,ajo picados,3 dientes de ajo picados,ajo picados,diente,"['3', 'dientes', 'de', 'ajo', 'picados']","['3', 'diente', 'de', 'ajo', 'picado']","['ajo', 'picados']","['agir', 'picado']",3 diente de ajo picado,agir picado
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,4,½ cucharada de mostaza,½,0.5,cucharada,mostaza,1/2 cucharada de mostaza,mostaza,cucharada,"['1/2', 'cucharada', 'de', 'mostaza']","['1/2', 'cucharado', 'de', 'mostaza']",['mostaza'],['mostazar'],1/2 cucharado de mostaza,mostazar
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,5,1 cucharada de comino molido,1,1.0,cucharada,comino molido,1 cucharada de comino molido,comino molido,cucharada,"['1', 'cucharada', 'de', 'comino', 'molido']","['1', 'cucharada', 'de', 'comino', 'molido']","['comino', 'molido']","['comino', 'molido']",1 cucharada de comino molido,comino molido
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,6,3 to mates cortados en cubitos,3,3.0,,to mates cortados en cubitos,3 to mates cortados en cubitos,to mates cortados en cubitos,,"['3', 'to', 'mates', 'cortados', 'en', 'cubitos']","['3', 'to', 'mate', 'cortado', 'en', 'cubito']","['to', 'mates', 'cortados', 'en', 'cubitos']","['to', 'mate', 'cortado', 'en', 'cubito']",3 to mate cortado en cubito,to mate cortado en cubito
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,7,2 cebollas medianas cortadas en rodajas,2,2.0,,cebollas medianas cortadas en rodajas,2 cebollas medianas cortadas en rodajas,cebollas medianas cortadas en rodajas,,"['2', 'cebollas', 'medianas', 'cortadas', 'en', 'rodajas']","['2', 'cebolla', 'mediano', 'cortado', 'en', 'rodaja']","['cebollas', 'medianas', 'cortadas', 'en', 'rodajas']","['cebolla', 'mediano', 'cortado', 'en', 'rodaja']",2 cebolla mediano cortado en rodaja,cebolla mediano cortado en rodaja
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,8,¼ taza de cilantro picado,¼,0.25,taza,cilantro picado,1/4 taza de cilantro picado,cilantro picado,taza,"['1/4', 'taza', 'de', 'cilantro', 'picado']","['1/4', 'taza', 'de', 'cilantro', 'picado']","['cilantro', 'picado']","['cilantro', 'picado']",1/4 taza de cilantro picado,cilantro picado
86af71fc-e16a-11ed-aaec-a96d6180cd25,Chuletas de Cerdo a la Criolla,9,Sal y pimienta negro,,,,Sal y pimienta negro,sal y pimienta negro,sal y pimienta negro,,"['sal', 'y', 'pimienta', 'negro']","['sal', 'y', 'pimienta', 'negro']","['sal', 'y', 'pimienta', 'negro']","['sal', 'y', 'pimienta', 'negro']",sal y pimienta negro,sal y pimienta negro
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,1,1 libra de costillas de cerdo en trozos pequeños,1,1.0,libra,costillas de cerdo en trozos pequeños,1 libra de costillas de cerdo en trozos pequenos,costillas de cerdo en trozos pequenos,libra,"['1', 'libra', 'de', 'costillas', 'de', 'cerdo', 'en', 'trozos', 'pequenos']","['1', 'libra', 'de', 'costilla', 'de', 'cerdo', 'en', 'trozo', 'pequeno']","['costillas', 'de', 'cerdo', 'en', 'trozos', 'pequenos']","['costilla', 'de', 'cerdo', 'en', 'trozo', 'pequeno']",1 libra de costilla de cerdo en trozo pequeno,costilla de cerdo en trozo pequeno
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,2,1 libra de carne de cerdo cortado en trozos pequeños,1,1.0,libra,carne de cerdo cortado en trozos pequeños,1 libra de carne de cerdo cortado en trozos pequenos,carne de cerdo cortado en trozos pequenos,libra,"['1', 'libra', 'de', 'carne', 'de', 'cerdo', 'cortado', 'en', 'trozos', 'pequenos']","['1', 'libra', 'de', 'carne', 'de', 'cerdo', 'cortado', 'en', 'trozo', 'pequeno']","['carne', 'de', 'cerdo', 'cortado', 'en', 'trozos', 'pequenos']","['carne', 'de', 'cerdo', 'cortado', 'en', 'trozo', 'pequeno']",1 libra de carne de cerdo cortado en trozo pequeno,carne de cerdo cortado en trozo pequeno
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,3,Media taza de salsa de aliños ver receta aquí,,,,Media taza de salsa de aliños ver receta aquí,media taza de salsa de alinos ver receta aqui,media taza de salsa de alinos ver receta aqui,,"['media', 'taza', 'de', 'salsa', 'de', 'alinos', 'ver', 'receta', 'aqui']","['medio', 'taza', 'de', 'salsa', 'de', 'alino', 'ver', 'receta', 'aqui']","['media', 'taza', 'de', 'salsa', 'de', 'alinos', 'ver', 'receta', 'aqui']","['medio', 'taza', 'de', 'salsa', 'de', 'alino', 'ver', 'receta', 'aqui']",medio taza de salsa de alino ver receta aqui,medio taza de salsa de alino ver receta aqui
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,4,1 cucharada de aceite vegetal o canola,1,1.0,cucharada,aceite vegetal o canola,1 cucharada de aceite vegetal o canola,aceite vegetal o canola,cucharada,"['1', 'cucharada', 'de', 'aceite', 'vegetal', 'o', 'canola']","['1', 'cucharada', 'de', 'aceite', 'vegetal', 'o', 'canola']","['aceite', 'vegetal', 'o', 'canola']","['aceite', 'vegetal', 'o', 'canola']",1 cucharada de aceite vegetal o canola,aceite vegetal o canola
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,5,1 cebolla roja pequeña finamente picada,1,1.0,,cebolla roja pequeña finamente picada,1 cebolla roja pequena finamente picada,cebolla roja pequena finamente picada,,"['1', 'cebolla', 'roja', 'pequena', 'finamente', 'picada']","['1', 'cebollo', 'rojo', 'pequén', 'finamente', 'picado']","['cebolla', 'roja', 'pequena', 'finamente', 'picada']","['cebollo', 'rojo', 'pequén', 'finamente', 'picado']",1 cebollo rojo pequén finamente picado,cebollo rojo pequén finamente picado
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,6,Media taza de cebolla blanca finamente picada,,,,Media taza de cebolla blanca finamente picada,media taza de cebolla blanca finamente picada,media taza de cebolla blanca finamente picada,,"['media', 'taza', 'de', 'cebolla', 'blanca', 'finamente', 'picada']","['medio', 'taza', 'de', 'cebolla', 'blanco', 'finamente', 'picado']","['media', 'taza', 'de', 'cebolla', 'blanca', 'finamente', 'picada']","['medio', 'taza', 'de', 'cebolla', 'blanco', 'finamente', 'picado']",medio taza de cebolla blanco finamente picado,medio taza de cebolla blanco finamente picado
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,7,1 tomate pelado y picado,1,1.0,,tomate pelado y picado,1 tomate pelado y picado,tomate pelado y picado,,"['1', 'tomate', 'pelado', 'y', 'picado']","['1', 'tomate', 'pelado', 'y', 'picado']","['tomate', 'pelado', 'y', 'picado']","['tomatir', 'pelado', 'y', 'picado']",1 tomate pelado y picado,tomatir pelado y picado
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,8,5 dientes de ajo picados,5,5.0,dientes,ajo picados,5 dientes de ajo picados,ajo picados,diente,"['5', 'dientes', 'de', 'ajo', 'picados']","['5', 'diente', 'de', 'ajo', 'picado']","['ajo', 'picados']","['agir', 'picado']",5 diente de ajo picado,agir picado
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,9,Media cucharadita de achiote,,,,Media cucharadita de achiote,media cucharadita de achiote,media cucharadita de achiote,,"['media', 'cucharadita', 'de', 'achiote']","['medio', 'cucharadita', 'de', 'achiote']","['media', 'cucharadita', 'de', 'achiote']","['medio', 'cucharadita', 'de', 'achiote']",medio cucharadita de achiote,medio cucharadita de achiote
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,10,2 tazas de arroz blanco,2,2.0,tazas,arroz blanco,2 tazas de arroz blanco,arroz blanco,taza,"['2', 'tazas', 'de', 'arroz', 'blanco']","['2', 'taza', 'de', 'arroz', 'blanco']","['arroz', 'blanco']","['arroz', 'blanco']",2 taza de arroz blanco,arroz blanco
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,11,4 ½ tazas de agua,4 ½,4.5,tazas,agua,4 1/2 tazas de agua,agua,taza,"['4', '1/2', 'tazas', 'de', 'agua']","['4', '1/2', 'taza', 'de', 'agua']",['agua'],['agua'],4 1/2 taza de agua,agua
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,12,1 cucharada de pasta de tomate,1,1.0,cucharada,pasta de tomate,1 cucharada de pasta de tomate,pasta de tomate,cucharada,"['1', 'cucharada', 'de', 'pasta', 'de', 'tomate']","['1', 'cucharada', 'de', 'pasta', 'de', 'tomate']","['pasta', 'de', 'tomate']","['pasta', 'de', 'tomate']",1 cucharada de pasta de tomate,pasta de tomate
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,13,½ cucharada de vinagre blanco,½,0.5,cucharada,vinagre blanco,1/2 cucharada de vinagre blanco,vinagre blanco,cucharada,"['1/2', 'cucharada', 'de', 'vinagre', 'blanco']","['1/2', 'cucharado', 'de', 'vinagre', 'blanco']","['vinagre', 'blanco']","['vinagrar', 'blanco']",1/2 cucharado de vinagre blanco,vinagrar blanco
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,14,Media taza de habichuelas cortadas en trozos,,,,Media taza de habichuelas cortadas en trozos,media taza de habichuelas cortadas en trozos,media taza de habichuelas cortadas en trozos,,"['media', 'taza', 'de', 'habichuelas', 'cortadas', 'en', 'trozos']","['medio', 'taza', 'de', 'habichuela', 'cortado', 'en', 'trozo']","['media', 'taza', 'de', 'habichuelas', 'cortadas', 'en', 'trozos']","['medio', 'taza', 'de', 'habichuela', 'cortado', 'en', 'trozo']",medio taza de habichuela cortado en trozo,medio taza de habichuela cortado en trozo
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,15,Media taza de zanahorias en cubitos,,,,Media taza de zanahorias en cubitos,media taza de zanahorias en cubitos,media taza de zanahorias en cubitos,,"['media', 'taza', 'de', 'zanahorias', 'en', 'cubitos']","['medio', 'taza', 'de', 'zanahoria', 'en', 'cubito']","['media', 'taza', 'de', 'zanahorias', 'en', 'cubitos']","['medio', 'taza', 'de', 'zanahoria', 'en', 'cubito']",medio taza de zanahoria en cubito,medio taza de zanahoria en cubito
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,16,Media taza de arvejas,,,,Media taza de arvejas,media taza de arvejas,media taza de arvejas,,"['media', 'taza', 'de', 'arvejas']","['medio', 'taza', 'de', 'arveja']","['media', 'taza', 'de', 'arvejas']","['medio', 'taza', 'de', 'arveja']",medio taza de arveja,medio taza de arveja
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,17,Un cuarto de taza de aceitunas verdes,,,,Un cuarto de taza de aceitunas verdes,un cuarto de taza de aceitunas verdes,un cuarto de taza de aceitunas verdes,,"['un', 'cuarto', 'de', 'taza', 'de', 'aceitunas', 'verdes']","['uno', 'cuarto', 'de', 'taza', 'de', 'aceituna', 'verde']","['un', 'cuarto', 'de', 'taza', 'de', 'aceitunas', 'verdes']","['uno', 'cuarto', 'de', 'taza', 'de', 'aceituna', 'verde']",uno cuarto de taza de aceituna verde,uno cuarto de taza de aceituna verde
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,18,1 cucharada de alcaparras,1,1.0,cucharada,alcaparras,1 cucharada de alcaparras,alcaparras,cucharada,"['1', 'cucharada', 'de', 'alcaparras']","['1', 'cucharada', 'de', 'alcaparra']",['alcaparras'],['alcaparra'],1 cucharada de alcaparra,alcaparra
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,19,Un cuarto de cucharadita de comino molido,,,,Un cuarto de cucharadita de comino molido,un cuarto de cucharadita de comino molido,un cuarto de cucharadita de comino molido,,"['un', 'cuarto', 'de', 'cucharadita', 'de', 'comino', 'molido']","['uno', 'cuarto', 'de', 'cucharadita', 'de', 'comino', 'molido']","['un', 'cuarto', 'de', 'cucharadita', 'de', 'comino', 'molido']","['uno', 'cuarto', 'de', 'cucharadita', 'de', 'comino', 'molido']",uno cuarto de cucharadita de comino molido,uno cuarto de cucharadita de comino molido
86af71fd-e16a-11ed-959e-a96d6180cd25,Arroz Apastelado,20,Sal y pimienta negro al gusto,,,,Sal y pimienta negro al gusto,sal y pimienta negro al gusto,sal y pimienta negro al gusto,,"['sal', 'y', 'pimienta', 'negro', 'al', 'gusto']","['sal', 'y', 'pimienta', 'negro', 'al', 'gusto']","['sal', 'y', 'pimienta', 'negro', 'al', 'gusto']","['sal', 'y', 'pimienta', 'negro', 'al', 'gusto']",sal y pimienta negro al gusto,sal y pimienta negro al gusto
86af71fe-e16a-11ed-94df-a96d6180cd25,Chuzos o Pinchos de Carne de Res,1,1 ½ libra filete de res cortado en cubos,1 ½,1.5,libra,filete de res cortado en cubos,1 1/2 libra filete de res cortado en cubos,filete de res cortado en cubos,libra,"['1', '1/2', 'libra', 'filete', 'de', 'res', 'cortado', 'en', 'cubos']","['1', '1/2', 'libra', 'filete', 'de', 'r', 'cortado', 'en', 'cubo']","['filete', 'de', 'res', 'cortado', 'en', 'cubos']","['filete', 'de', 'r', 'cortado', 'en', 'cubo']",1 1/2 libra filete de r cortado en cubo,filete de r cortado en cubo
86af71fe-e16a-11ed-94df-a96d6180cd25,Chuzos o Pinchos de Carne de Res,2,½ de taza de cebolla finamente picada,½,0.5,,de taza de cebolla finamente picada,1/2 de taza de cebolla finamente picada,de taza de cebolla finamente picada,,"['1/2', 'de', 'taza', 'de', 'cebolla', 'finamente', 'picada']","['1/2', 'de', 'taza', 'de', 'cebolla', 'finamente', 'picado']","['de', 'taza', 'de', 'cebolla', 'finamente', 'picada']","['de', 'taza', 'de', 'cebolla', 'finamente', 'picado']",1/2 de taza de cebolla finamente picado,de taza de cebolla finamente picado
86af71fe-e16a-11ed-94df-a96d6180cd25,Chuzos o Pinchos de Carne de Res,3,2 dientes de ajo picados,2,2.0,dientes,ajo picados,2 dientes de ajo picados,ajo picados,diente,"['2', 'dientes', 'de', 'ajo', 'picados']","['2', 'diente', 'de', 'ajo', 'picado']","['ajo', 'picados']","['agir', 'picado']",2 diente de ajo picado,agir picado
86af71fe-e16a-11ed-94df-a96d6180cd25,Chuzos o Pinchos de Carne de Res,4,1 cebolla de rama picada,1,1.0,,cebolla de rama picada,1 cebolla de rama picada,cebolla de rama picada,,"['1', 'cebolla', 'de', 'rama', 'picada']","['1', 'cebolla', 'de', 'rama', 'picado']","['cebolla', 'de', 'rama', 'picada']","['cebollo', 'de', 'rama', 'picado']",1 cebolla de rama picado,cebollo de rama picado
86af71fe-e16a-11ed-94df-a96d6180cd25,Chuzos o Pinchos de Carne de Res,5,½ cucharadita de comino molido,½,0.5,cucharadita,comino molido,1/2 cucharadita de comino molido,comino molido,cucharadita,"['1/2', 'cucharadita', 'de', 'comino', 'molido']","['1/2', 'cucharaditar', 'de', 'comino', 'molido']","['comino', 'molido']","['comino', 'molido']",1/2 cucharaditar de comino molido,comino molido
86af71fe-e16a-11ed-94df-a96d6180cd25,Chuzos o Pinchos de Carne de Res,6,½ taza de cerveza,½,0.5,taza,cerveza,1/2 taza de cerveza,cerveza,taza,"['1/2', 'taza', 'de', 'cerveza']","['1/2', 'taza', 'de', 'cerveza']",['cerveza'],['cerveza'],1/2 taza de cerveza,cerveza
86af71fe-e16a-11ed-94df-a96d6180cd25,Chuzos o Pinchos de Carne de Res,7,El aceite de oliva para asar la carne,,,,El aceite de oliva para asar la carne,el aceite de oliva para asar la carne,el aceite de oliva para asar la carne,,"['el', 'aceite', 'de', 'oliva', 'para', 'asar', 'la', 'carne']","['el', 'aceite', 'de', 'oliva', 'para', 'asar', 'el', 'carne']","['el', 'aceite', 'de', 'oliva', 'para', 'asar', 'la', 'carne']","['el', 'aceite', 'de', 'oliva', 'para', 'asar', 'el', 'carne']",el aceite de oliva para asar el carne,el aceite de oliva para asar el carne
86af71fe-e16a-11ed-94df-a96d6180cd25,Chuzos o Pinchos de Carne de Res,8,Sal y pimienta negra,,,,Sal y pimienta negra,sal y pimienta negra,sal y pimienta negra,,"['sal', 'y', 'pimienta', 'negra']","['sal', 'y', 'pimienta', 'negro']","['sal', 'y', 'pimienta', 'negra']","['sal', 'y', 'pimienta', 'negro']",sal y pimienta negro,sal y pimienta negro
86af71ff-e16a-11ed-a921-a96d6180cd25,Arepa Boyacense,1,2 tazas de harina de maíz amarilla pre cocida masarepa,2,2.0,tazas,harina de maíz amarilla pre cocida masarepa,2 tazas de harina de maiz amarilla pre cocida masarepa,harina de maiz amarilla pre cocida masarepa,taza,"['2', 'tazas', 'de', 'harina', 'de', 'maiz', 'amarilla', 'pre', 'cocida', 'masarepa']","['2', 'taza', 'de', 'harina', 'de', 'maiz', 'amarillo', 'pre', 'cocido', 'masarepo']","['harina', 'de', 'maiz', 'amarilla', 'pre', 'cocida', 'masarepa']","['harina', 'de', 'maiz', 'amarillo', 'pre', 'cocido', 'masarepo']",2 taza de harina de maiz amarillo pre cocido masarepo,harina de maiz amarillo pre cocido masarepo
86af71ff-e16a-11ed-a921-a96d6180cd25,Arepa Boyacense,2,5 cucharadas de harina de trigo,5,5.0,cucharadas,harina de trigo,5 cucharadas de harina de trigo,harina de trigo,cucharada,"['5', 'cucharadas', 'de', 'harina', 'de', 'trigo']","['5', 'cucharada', 'de', 'harina', 'de', 'trigo']","['harina', 'de', 'trigo']","['harina', 'de', 'trigo']",5 cucharada de harina de trigo,harina de trigo
86af71ff-e16a-11ed-a921-a96d6180cd25,Arepa Boyacense,3,1 + ½ tazas de agua caliente,1,1.0,,+ ½ tazas de agua caliente,1 1/2 tazas de agua caliente,1/2 tazas de agua caliente,,"['1', '1/2', 'tazas', 'de', 'agua', 'caliente']","['1', '1/2', 'taza', 'de', 'agua', 'caliente']","['1/2', 'tazas', 'de', 'agua', 'caliente']","['1/2', 'taza', 'de', 'agua', 'caliente']",1 1/2 taza de agua caliente,1/2 taza de agua caliente
86af71ff-e16a-11ed-a921-a96d6180cd25,Arepa Boyacense,4,½ taza de leche,½,0.5,taza,leche,1/2 taza de leche,leche,taza,"['1/2', 'taza', 'de', 'leche']","['1/2', 'taza', 'de', 'leche']",['leche'],['leche'],1/2 taza de leche,leche
86af71ff-e16a-11ed-a921-a96d6180cd25,Arepa Boyacense,5,¼ cucharadita de sal,¼,0.25,cucharadita,sal,1/4 cucharadita de sal,sal,cucharadita,"['1/4', 'cucharadita', 'de', 'sal']","['1/4', 'cucharadita', 'de', 'sal']",['sal'],['sal'],1/4 cucharadita de sal,sal
86af71ff-e16a-11ed-a921-a96d6180cd25,Arepa Boyacense,6,2 cucharadas de azúcar,2,2.0,cucharadas,azúcar,2 cucharadas de azucar,azucar,cucharada,"['2', 'cucharadas', 'de', 'azucar']","['2', 'cucharada', 'de', 'azucar']",['azucar'],['azucar'],2 cucharada de azucar,azucar
86af71ff-e16a-11ed-a921-a96d6180cd25,Arepa Boyacense,7,3 cucharadas de mantequilla suave un poco más para cocinar,3,3.0,cucharadas,mantequilla suave un poco más para cocinar,3 cucharadas de mantequilla suave un poco mas para cocinar,mantequilla suave un poco mas para cocinar,cucharada,"['3', 'cucharadas', 'de', 'mantequilla', 'suave', 'un', 'poco', 'mas', 'para', 'cocinar']","['3', 'cucharada', 'de', 'mantequilla', 'suave', 'uno', 'poco', 'mas', 'para', 'cocinar']","['mantequilla', 'suave', 'un', 'poco', 'mas', 'para', 'cocinar']","['mantequilla', 'suave', 'uno', 'poco', 'mas', 'para', 'cocinar']",3 cucharada de mantequilla suave uno poco mas para cocinar,mantequilla suave uno poco mas para cocinar
